Player,GP,4I,4,-4,X1,X2,TUH,#buzz,%buzz,%I,4I/-4,4s/-4,P/TU,Pts,PPG
ANDREW,6,0,1,0,0,0,24,1,4.17%,0.0%,0,inf,0.17,4,0.67
DEREK,10,0,0,0,0,0,40,0,0.0%,N/A,0,0,0.0,0,0.0
ELLA,4,0,2,0,3,2,16,7,43.75%,0.0%,0,inf,0.5,8,2.0
JACOB,10,0,2,0,0,0,40,2,5.0%,0.0%,0,inf,0.2,8,0.8
REILLY,10,0,2,0,1,2,40,5,12.5%,0.0%,0,inf,0.2,8,0.8
DINGJIA,7,0,0,0,0,0,28,0,0.0%,N/A,0,0,0.0,0,0.0
HENRY,10,2,6,0,1,0,40,9,22.5%,22.22%,inf,inf,0.8,32,3.2
JOSEPH,10,0,1,0,1,0,40,2,5.0%,0.0%,0,inf,0.1,4,0.4
MOHAMMAD,4,0,2,0,3,1,16,6,37.5%,0.0%,0,inf,0.5,8,2.0
0,1,0,0,0,0,0,4,0,0.0%,N/A,0,0,0.0,0,0.0
NICKEL,2,0,1,2,0,0,8,3,37.5%,66.67%,0.0,0.5,-0.5,-4,-2.0
KEVIN,6,1,2,1,2,0,24,6,25.0%,33.33%,1.0,3.0,0.33,8,1.33
EMILY,7,0,2,0,1,0,28,3,10.71%,0.0%,0,inf,0.29,8,1.14
MOHAMMAD 11,4,2,2,0,0,2,16,6,37.5%,33.33%,inf,inf,1.0,16,4.0
MOHAMMAD 10,4,0,0,0,1,0,16,1,6.25%,0.0%,0,0,0.0,0,0.0
MOHOMMAD 10,1,0,1,1,2,0,4,4,100.0%,25.0%,0.0,1.0,0.0,0,0.0
RACHEL,5,1,0,0,1,0,20,2,10.0%,50.0%,inf,inf,0.2,4,0.8
MOHAMMAD ,1,0,0,0,0,0,4,0,0.0%,N/A,0,0,0.0,0,0.0
